     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       200,         7,         0,   0.016,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
       800,        62,         0,   0.031,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
      2800,       270,         0,   0.063,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       100,         2,         0,   0.906,pymatching,f8639ca7cc7682f8a48b4e8d41a0464183fcd92ec089e6e89e5600d3c2d517e1,"{""d"":15,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":15,""rounds"":45}}",
      6000,       570,         0,   0.156,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       600,        56,         0,   0.032,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
      4800,       428,         0,   0.109,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
     10400,       945,         0,   0.250,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
      1800,       129,         0,   0.125,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
     16000,      1463,         0,   0.375,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
